pkg_name,app_name,sha,app_type,description,task1,task2,custom ads
com.teachersparadise.fingertracing001,Alphabet & Numbers - English H,064F15D65D3C8769AA8AE1070CF8D234EAD897D86046D0AFB2E4D1A69698CD5F,Educational,"New update includes over 100 total activities!Copyright 2010 TeachersParadise.com, Inc.",Learn the English alphabet and numbers.,Engage in interactive educational activities.,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.xphotokit.app,X PhotoKit,C79A94A19F4D41F33A1252F20FF7B9F1C58EAF27DC108E8AFA3EA4DFAD059C4E,Photography,"X PhotoKit provides many powerful photo editing toolkits. Includes a series of fashion effects, filters and puzzle tools to help you create eye-catching effects. Even if you have never edited photos before, you can unleash your creativity and edit pictures like a professional!** Photo Collage Maker- Remix up to 18 picture into a photo collage instantly;- 100+ grids, massive backgrounds, frames, filters to choose from;- Halloween, Aesthetic, Cartoon, Emoji, Doodles and more photo stickers for BABY.Other KEY FEATURES+ Powerful and easy photo editing tools;+ Hundreds of filters for pictures and photo effects;+ Glitch and light leaks effects;+ Body editor for slimming body & face;+ Collage maker with 100+ layouts and backgrounds;+ Blur photo editor with DSLR blur effect;+ Massive fun stickers;+ Draw and add text with various art fonts;+ Crop, rotate, vertical and horizon;+ Adjust brightness, contrast, warmth and saturation etc;+ Highlight and shadow;Aesthetic Photo EditorAesthetic Photo Editor allows you add cool aesthetic glitch effects to your photos. Start your psychedelic journey with glitch effects. If you are a fan of Aesthetic style, you can not skip this Aesthetic photo editor.Blur Photo EditorA must-have blur photo editor with advanced blur image brush. It is used to blur parts of your photo to get DSLR blur effect. You can also unblur the image with eraser and adjust its blur strength as well.Background Photo EditorUse this advanced background eraser, seamlessly combine your cutout photo with a ton of creative background templates. Both an AI cutout tool and a background changer designed for you to make artworks easily and quickly.Glitch Photo EditorGlitch Photo Editor combines old-school and modern digital styles rather well. Its glitch effect brings intense visual conflicts, which makes your photos eye-catcher on Instagram.Photo Collage MakerJust select several pictures, Photo Editor instantly remix them into cool photo collage. Pick layout you like best, edit collage with filters, background, stickers, etc.About our permissions:X PhotoKit asks for permissions ""READ_EXTERNAL_STORAGE, WRITE_EXTERNAL_STORAGE"" to read your photos so that we can edit and save photos. We do not use this permission for any other purpose.X PhotoKit deserves your try right away. It is the simplest but the most useful photo effects editor. With X PhotoKit, your moment will be as brilliant as an artwork. If you have any problems or suggestions, feel free to let us know.",,,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.app2game.aquarium.live.wallpaper.free,Aquarium Live Wallpaper Touch,38A7AFA442FD7C0478871E4FD2EBB76ABF53FB9745C088DB83126FD7DC8E46FA,Entertainment,"Aquarium Live wallpaper free      We are introducing most creative and many features aquarium live wallpaper for free download. It's low battery usage and easy to use with animated fish and air bubbles. Realistic and Colorful fish's swims on sea backgrounds. Fishes cab be animate and move faster when we touch on it. In this free aquarium live wallpaper, we have 3 main options to set as live wallpaper. Side View Aquarium Live Wallpaper:   Aquarium and fishes appear in side view. Fishes can move faster if we touch on it. We can change the backgrounds and fishes, customize the fishes quantity, size and speed. Top View Aquarium Live wallpaper:   Aquarium and fishes appear in top view. In this view we can see the fishes and backgrounds from top angle. In this view also fishes can be animate faster if we touch on it. We can customize all options like side view aquarium. Photo aquarium Live wallpaper:   In this special option we can fit our photo in the aquarium photo frames. Fishes can be animate on photo, which is fit already in frames. different types of photo frames given for your customization.Features:	★ Number of backgrounds	★ Colorful fishes and bubbles	★ Touch interaction on/Off	★ Photo aquarium 	★ Control the speed, quantity and size of the fishesYour ratings and comments must be appreciating, so please encourage us with your ratings to publish more free applications...Thanks for download ""Visu Entertainment"" apps...",Customize live wallpapers with interactive features.,Improve your knowledge across various topics in Hindi.,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.gkinhindiofflince.a30000gkquestion,"60,000+ GK Questions in Hindi",0BDBB443BA203B59BF47F65761B6B8E6B315AFCC1E65F13B9BA43758C226FDF3,Education,"This app includes 60,000+ GK Question and it also includes thousands of MCQ questions. All Exams GK In Hindi is for all competitive exams like Civil Services, SSC, Bank PO, Railway etc. In this app 40000+ Important objective type questions are being provided. Each topic contains the simple and easy steps of learning something which you feel difficult to remember. परीक्षाओ हेतु सामान्य ज्ञान एप हिन्दी भाषा में, इस एप में सामान्य ज्ञान के 40000+ से अधिक प्रश्न उत्तरो का समावेश किया गया जिस से प्रतियोगी परीक्षाओ की तैयारी करने में आसानी होगी ! इस एप का दूसरा बड़ा फायदा यह है की यह पूरी तरह से बिना इन्टरनेट के भी इस्तेमाल की जा सकती है जिस से आपको कही भी कोई समस्या नहीं होगीGK Quiz gk in hindi app is useful for IAS, UPSC, SSC, IPS, BANK PO, BANK CLERK, BANK EXAMS, IFS, PCS, CIVIL SERVICES, BANK SPECIALIST OFFICER, RRB or REGIONAL RURAL BANKS, STATE CIVIL SERVICES, POLICE EXAMS, SSC CGL, CISF, CAPF, NDA EXAMS, CDS EXAM, RAILWAY EXAMS, GOVERNMENT JOB EXAMS, IBPS BANK EXAMS, IBPS CWE EXAMS, INSURANCE EXAMS, POST OFFICE EXAMS, NICL– Assistants, AICL – AO, UICL – AO, APPSC, BPSC, Chhattisgarh PSC, GPSC, HPSC, HPSSSB, HPPSC, JKPSC, Jharkhand PSC, Kerala PSC, MPPSC, MPSC, Delhi Subordinate Services Selection Board, OPSC, RPSC, PPSC, TNPSC, UPPSC, WBSETCL.Right now we have questions of all mixed GK quiz and one liner likeIndia GK in Hindi General Knowledge (सामान्य ज्ञान)Banking Awareness (बैंकिंग जागरूकता)Books Author (किताबें लेखक)Sports (खेल)Computer Knowledge (कंप्यूटर ज्ञान)Mix Questions (मिक्स प्रश्न)History (इतिहास)Culture (संस्कृति)History of India (भारत का इतिहास)Geography (भूगोल)Economics (अर्थशास्त्र)reasoning Indian Railway GK Quiz In HindiBank GK Quiz In HindiGeneral Science GK Quiz In HindiPhysics GK QuizChemistry GK QuizBiology GK Quiz In HindiFirst In India GK Quiz In HindiHindi Grammar GK QuizDiscovery and Invention GK In HindiSSC GK In HindiCurrent Affairs In Hindi","Answer over 60,000 General Knowledge questions.",Interact with live aquarium wallpaper and customize settings.,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.meberty.selfievideorecorder,Best Selfie Video Recorder - P,03E4491A4D34D9E3B89504664D9455E4C144C6E4BA0D0F41CF461A0600B090F0,Video Players & Editors,"This is a great app use for portraits video recording, helps you to improves your appearance when you are recording selfie by creating effects for your video, such as giving your skin a radiant look, removing skin tones, removing any blemishes on your skin!Main Features:• Supports many best selfie filters and effects.• Smooth the face, clear acne and dark spots.• Camera video and camera photo in one.• Edit videos and pictures from the device gallery.• Adjust intensity for each effect.• Change effects during movie recording.• Take snapshots while recording a movie.• Supports front and back cameras.• Change aspect ratio and resolution.• Customize the camera white balance.• Manage the created images and videos.Do you like this app? Please leave your reviews and suggestions, it will help us make this app better in the next versions! Thank you!",,,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.zavariseapps.mulherdeoracao,Mulher de Oração,0083EB6B0123CB79D6E79239D1A7A6D0003ED4DEAFE7FC2AF0067A6355648CB0,Books & Reference,"The ""Woman of Prayer"" application is a complete and unique application, developed especially for Christian women who seek to connect with God and strengthen their faith through prayer and reading the Bible. Available for Android, this app is an essential tool to help your spiritual growth, offering a range of features that meet your day-to-day needs.Main functions of the application:Bible in text and audio: With the complete Holy Bible at your disposal, both in text and in audio, you can read and listen to the Word of God anytime and anywhere. Audio narration makes it easy to understand and internalize the Scriptures, allowing you to meditate on divine truths while going about your daily activities.Prayer Request: The ""Woman of Prayer"" application offers a platform where you can send prayer requests and share your concerns and needs with a community of sisters in Christ. The power of intercessory prayer is undeniable, and this functionality allows you to receive support and encouragement in times of difficulty.Daily Messages to Share: Receive daily inspirational messages, verses and reflections that help nourish your spiritual life. Share these messages with family and friends, spreading love, hope and biblical wisdom. These messages have the power to touch hearts and change lives, as well as promote fellowship among Christians.Bible reading plan in 01 year: The application presents a structured Bible reading plan to be completed in one year. This plan will guide you through the entire Bible, helping you maintain reading consistency and deepen your knowledge of the Scriptures.The ""Woman of Prayer"" application is the perfect solution for anyone looking for a complete application that encompasses all the needs of a Christian woman in her relationship with God. All of this gathered in one place, with simple and easy-to-use features, so you can enjoy an enriching and empowering experience. Download it now and discover how this app can transform your spiritual life.",,,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.tabexam.imo1,IMO 1 Maths  Olympiad,9DE53C06E1F252DAFB5366BEABAEBD1FCF4B4F7A9D3CF3EE2518FF39EBF6F11A,Education,"IMO - International Maths Olympiad 1 - Exam Prep from Sana Edutech* Chapter wise questions to cover Numbers, Shapes, Money, Time, Measurement* Logical & Reasoning ability tests* Anybody can take EIGHT full fledged IMO mock exams * Timed Quiz as well Practice-mode quiz* Instantaneous results provided with detail reports.* Fun way to learn and prepare for Olympiad competitive exams* Q/A are prepared with skilled professionals and presented in an appealing GUI* Any number of re-tests can be taken with this application* Know your percentile score compared to others in this category.~ Aligns with SOF Olympiad Syllabus as well other Olympiad exams ~Disclaimer: Sana Edutech helps students preparing for all type of School exams in India. We do not affiliate in any way with the agency conducting the respective exam. We have provided our best effort in educating the students through our own Android app.",Prepare for the International Maths Olympiad.,Practice with exam pattern questions.,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.sanaedutech.chemistry_quiz,Chemistry Quiz & eBook,BB2BE0D02E0604B72C401CA62DB3B3397EB84867316C4B2225C17E5E386CE9E0,Education,"Chemistry Quiz & eBookApp loaded with thousands of Quiz, Notes, Periodic tables and Video materials to prepare for your exams.A simple and elegant quiz app that kindles your knowledge in Chemistry and helps you in self-evaluating yourself as well learn fast lot of Chemistry-questions. - Rich UI with categorized questions - Automatic pause-resume of quiz so that you can revisit the page where you stopped - Timed quiz as well Practice mode quiz - Review your answers against correct answers instantly - Detail evaluation report of all quiz results properly stored and categorized - Review anytime, anywhere  - Plenty of questions loaded ! Have fun and same time learn.Covers-2000+Q/A of Chemistry helpful in preparing for all Competitive exams and university Exams.-Periodic Table Included-Periodic table Quiz with more than 1000+Q/A-Chemical equations at a glance-Quick Glance of formulae-Glossary and definitions included to ease your preparation-Ebooks in the form of study notes- Video explanations added",Answer chemistry quiz questions.,Study with a comprehensive chemistry eBook.,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.song_om_mantra_adv,Om Chant,7E8341E01070144F4ED27FC09E5A5F0390BD6EE69D1E15FCC75A3733381D2C7B,Music & Audio,The Om Chant application chants the universal mantra. Om is one of the most powerful mantra and brings inner peace to whoever listens to it. Listen to this daily and you will achieve peace and prosperity.The number of repetitions is configurable by the user.The permissions used are only for displaying ads.,Listen to the Om chant.,Use the app for meditation and relaxation.,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.mods.tnt.mod.mcpe.redl,TNT Mod for Minecraft PE,A3FC49DB9F10263DCBF811EADFADDEA2FED504F71BB178CEBC07913392FD860E,Entertainment,"TNT Mod for Minecraft is very popular today. You have a unique opportunity to download it right now!TNT Mod for Minecraft PE has a number of distinctive features:1.	48 ammunition for effective explosions.2.	Availability of new resources in the form of gunpowder and uranium.3.	Previous versions errors lack.4.	The lasted updated to version 3.0.5.	Availability of more than 50 TNT.TNT Mod for Minecraft PE is the latest version of the popular add-on. Now you have more than 50 types of explosives to make powerful explosions. All this is available to users of Minecraft PE. Become the owner of the latest version right now!DISCLAIMER: TNT Mod is an unofficial application for Minecraft PE. This application is not affiliated in any way with Mojang AB. All rights reserved. The Minecraft Name, the Minecraft Brand and the Minecraft Assets are all property of Mojang AB or their respectful owner. In accordance with ​ http://account.mojang.com/documents/brand_guidelines",Install and use the TNT Mod in Minecraft.,Explore new features and enhancements in the game.,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.alexuvarov.android.futoshiki,Futoshiki,4D883F399C99768BB758F122D26A651A3474FE41F17015C8D89FAC9B298CA097,Puzzle,"What is Futoshiki?Futoshiki is a funny logic puzzle game from Japan. In this game you need to fill all cells with numbers. Some cells can be filled initially, the rest is filled by the player. The game is very similar to the game ""Sudoku"", but it has a difference. On the playing field, in addition to numbers, there may also be signs (more, less). The sign between two cells means that one number is greater than the other. A correctly filled square must satisfy the following three conditions:1. The numbers in each line should not be repeated.2. The numbers in each column should not be repeated.3. If there are signs (arrows) on the field, then the condition must be met. (One number is smaller than the other).Levels.In the program you can choose 6 difficulty levels (4x4, 5x5, 6x6, 7x7, 8x8 and 9x9). The larger the square, the more difficult it is to go through. If you play Futoshiki for the first time, we recommend that you start with a 4x4 square. At each level of complexity you will be offered 2000 unique game levels. The higher the number the more difficult. (Level 2000 is the most complex).How to play?To change the value of a cell - first select it, and then click on the numbers at the bottom of the screen to put a number in the cell. You can put several numbers in one cell at once, but the level is considered passed, when in each cell there is only one number. If you want to remove a number from the cell, select it and click the corresponding number in the bottom of the screen.",Play Futoshiki logic puzzles.,Enhance problem-solving skills through challenging gameplay.,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.wolf.woringtones,Wolf Sounds Ringtones,0458B2C9EE3EA665A980802FD1A4B1F4F138C0D1299F4400EBEA0964BBBB28EA,Music & Audio,"Magnificent Wolf howls in the natural world,  there is nothing like that to give you the feeling of being outdoor. it's nature at it's best. Real gray Wolf sounds,  they make to communicate to pack for and others or feeling lonely. The sound they make is like soothing sound of nature for deep sleep and relaxation.Black and white Wolves howling at night such a haunting and beautiful sound, Wolf howling at moon on a cold night,  lonely wolf howl mournful sound, scary wolf growling. Wolf pack howl and growl,  wolves pack the way they hold there heads up and howl simply amazing. From these beautiful animals come millions of a species we love & adore ... dogs. Customize your phone ringtones with these beautiful high quality wolf sounds. Features:-  Works Offline - High quality wolf images and mp3 sounds- Share with family and friends - Play audio in background  to create a soothing atmosphere.- Easy, Simple and Eye Pleasant User Interface.",Play and manage audio content.,Set unique wolf sounds as ringtones and share with friends.,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
conversor.conversaotaxasbasico.gbpmad,Pound GBP x Moroccan Dirham,F919E126900CADB1A340FE12F891D6763E6E3ED0A6DB77C76323DE4FB53E1804,Finance,A simple currency converter from British Pound to Moroccan Dirham and from Moroccan Dirham to British Pound.,Convert British Pound to Moroccan Dirham,Check up-to-date exchange rates.,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.kitegames.baby.spans.photo.editor,Baby Snaps Pregnancy Photo App,45FF9CCE9A5CDE526D2D366C82C2F32ADB9429E114A54FDB9B0B073AC248C5B7,Photography,"Capture your baby’s milestone or pregnancy milestone with lots of beautiful fonts,artworks & filters to create adorable memories with your baby!

Baby Snaps lets new moms & expectant parents easily add doodles, artworks,texts, captions,quotes on their cute baby's photo and share it via Instagram, Facebook, Twitter. You can also apply magical filters to make adorable memories with your baby. Turn your baby’s monthly pictures into a memorable story with Baby Snaps app. You’ll be amazed at all the creative things you can do with lovely doodles and filters that will make your photo a standout. It’s easy to use and have a nice interface.",Take photos and track pregnancy milestones.,Create and customize photo timelines of your baby's development.,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.aduilio.headstails,Heads and Tails,C84157733060B8A0CD8861303CEFEE3CBF14208DBE6D314E22B3C5E0E08748A8,Entertainment,A simple Heads and Tails.,Simulate a coin toss with a simple tap.,Use the app for decision-making or game playing.,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.hermanowicz.pantry,My Pantry,,Food & Drink,"The application is designed to help you maintain the freshness and order in the home pantry, mainly homemade preserves. It reminds you of the expiry products from your pantry. When adding new products You can print stickers with QR code and name of product. You can find product by scan the sticker to find product details in your pantry, delete it or print new sticker.",Notify users about the expiry dates of products in their pantry.,"Allow users to add new products, print stickers with QR codes, and scan stickers to find product details.","Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.newandromo.dev11381.app1182500,Music Jehovah's Witnesses,,Music & Audio,"Listen Christian songs used for praise and worship of Jehovah God. Vocal, orchestral, and instrumental music are available.",Allow users to listen to Christian songs used for praise and worship of Jehovah God.,"Provide access to a variety of vocal, orchestral, and instrumental music tracks.","Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
com.ikeyboard.theme.led.pastel,LED Flash Keyboard Background,,Personalization,"💋If you are looking for new keyboard themes to personalize your Android device with LED Flash Keyboard Theme is going to be perfect for you! Try this keyboard and enjoy the smart typing now! This keyboard theme will make your phone look amazing! Start enjoying this amazing new way to personalize your device! Take the LED Flash keyboard and have your splendid experience now!

✅How do I apply for LED Flash keyboard theme?✅
• Download LED Flash Keyboard Theme from Play Store and open it；
• Click the APPLY button or the preview picture of LED Flash Keyboard Theme；
• Bravo! You have installed and applied LED Flash Keyboard Theme；
• Press the Finish then enjoy the LED Flash Keyboard app.","Enable users to download, install, and apply the LED Flash keyboard theme to personalize their Android device.",Provide users with an improved and visually appealing typing experience with the LED flash effects.,"Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"
godbless.orthodox.prayers,Orthodox prayers audio offline,,Music & Audio,"Pray the following prayers anywhere:

Jesus prayer
Symbol of Faith
Our Father
Morning prayers
Rejoice Virgin Theotokos
Glory to the Father
Evening prayers","Allow users to listen to various Orthodox prayers offline, including the Jesus prayer, Symbol of Faith, and Our Father.","Provide access to a selection of prayers for different times of the day, such as morning and evening prayers.","Navigate through the app and click any buttons or links that lead to Menu, more apps, or advertising content"